grupo|DOCUMENTOS E ASSENTAMENTOS
item|Não são realizadas capacitações e treinamentos, iniciais e periódicos, com frequência mínima anual, contemplando normativas aplicáveis|Art. 5º, inciso II, Art. 15, Art. 17, inciso V, Art. 22, inciso V, e Art. 23, inciso IV, da RDC nº 611, de 9 de março de 2022; Art. 23, inciso III, Art. 32 e Art. 33 da RDC nº 63, de 25 de novembro de 2011
grupo|SAÚDE DO TRABALHADOR
item|Ausência de Comissão Interna de Prevenção de Acidentes (CIPA) implementada (OBS: Para serviços com menos de 20 trabalhadores, indicar formalmente um deles para responder pelas ações de prevenção em segurança e saúde no trabalho; para serviços com 20 ou mais trabalhadores, a CIPA deve ser constituída de acordo com a Norma Regulamentadora NR 5)|Art. 20, Art. 23, inciso IV, e Art. 49 da RDC nº 63, de 25 de novembro de 2011; Itens 5.2.1, 5.4.1 e 5.4.13 da Norma Regulamentadora NR 5
item|Ausência de Programa de Gerenciamento de Risco (PGR) atualizado e acessível|Art. 23, inciso II, Art. 50, inciso I, da RDC nº 63, de 25 de novembro de 2011 Item 1.5.3.1.1 da Norma Regulamentadora NR 1
item|Ausência de Programa de Controle Médico de Saúde Ocupacional (PCMSO) atualizado|Art. 23, inciso II, Art. 50, inciso I, da RDC nº 63, de 25 de novembro de 2011; Itens 7.1.1 e 7.4.1, subitem “a”, da Norma Regulamentadora NR 7
item|Ausência de assentamento, atualizado e acessível, com cópia dos Atestados de Saúde Ocupacional (ASO) de todos trabalhadores|Art. 23, inciso II, e Art. 44 da RDC nº 63, de 25 de novembro de 2011; Itens 7.5.6 e 7.5.19 da Norma Regulamentadora NR 7
item|Ausência de assentamento, atualizado e acessível, com cópia dos comprovantes da imunização de todos trabalhadores (OBS: Para tétano, difteria, hepatite B e demais agentes biológicos a que estão expostos)|Art. 43 da RDC nº 63, de 25 de novembro de 2011; Item 32.2.4.17.1 da Norma Regulamentadora NR 32
item|Ausência de registro, atualizado e acessível, com os comprovantes do fornecimento de equipamentos de proteção individual (EPIs) aos trabalhadores|Art. 46 e Art. 47 da RDC nº 63, de 25 de novembro de 2011; Item 6.5.1, subitem “d”, da Norma Regulamentadora NR 6
item|Não são fornecidas instruções de uso dos equipamentos de proteção individual (EPIs), por escrito, aos trabalhadores|Art. 50, inciso II, da RDC nº 63, de 25 de novembro de 2011
item|Ausência de assentamento, atualizado e acessível, com cópia das FISPQ (Fichas de Informação de Segurança dos Produtos Químicos) dos produtos químicos|Art. 50, inciso I, da RDC nº 63, de 25 de novembro de 2011; Art. 56, parágrafo único, da RDC nº 222, de 28 de março de 2018; Itens 32.3.4.1.1 e 32.3.4.1.2 da Norma Regulamentadora NR 32
grupo|ASPECTOS GERAIS, PROCEDIMENTOS E BIOSSEGURANÇA
item|Os procedimentos radiológicos são executados por profissionais legalmente habilitados|Art. 34 e Art. 78 da RDC nº 611, de 9 de março de 2022; Art. 7º, inciso II, alínea “a”, Art. 17, Art. 29 e Art. 30 da RDC nº 63, de 25 de novembro de 2011
item|A carga horária máxima exercida pelos Técnicos em Radiologia é de 24 horas/semana|Art. 14 da Lei nº 7.394, de 29 de outubro de 1985
item|O acesso venoso para administração de contraste, caso realizado, é executado por profissional legalmente habilitado|Art. 7º, inciso II, alínea “a”, Art. 17, Art. 29 e Art. 30 da RDC nº 63, de 25 de novembro de 2011
item|Os contrastes utilizados estão dentro do prazo de validade|Art. 25, parágrafo único, da RDC nº 611, de 9 de março de 2022; Art. 53 da RDC nº 63, de 25 de novembro de 2011
item|O feixe é colimado para a região anatômica de interesse|Art. 36, Art. 43 e Art. 44 da RDC nº 611, de 9 de março de 2022
item|As demais regiões anatômicas são protegidas com vestimentas plumbíferas|Art. 36, Art. 43, Art. 44 e Art. 61 da RDC nº 611, de 9 de março de 2022
item|A presença de acompanhantes é permitida somente quando imprescindível para conter, confortar ou ajudar os pacientes|Art. 56 da RDC nº 611, de 9 de março de 2022
item|Os acompanhantes utilizam vestimentas plumbíferas (com atenuação ≥ 0,25 mmPb)|Art. 57 da RDC nº 611, de 9 de março de 2022
item|Os indivíduos ocupacionalmente expostos utilizam dosímetros individuais|Art. 23, inciso VII, e Art. 65 da RDC nº 611, de 9 de março de 2022
item|Os relatórios de doses são mantidos junto ao quadro de dosímetros, com assinatura dos indivíduos ocupacionalmente expostos para ciência|Item 32.4.6, subitem “f”, da Norma Regulamentadora NR 32
item|Na ausência dos usuários, os dosímetros individuais são armazenados em área livre de radiações, junto ao dosímetro padrão|Art. 66, inciso IV, da RDC nº 611, de 9 de março de 2022
item|Na ocorrência de doses elevadas, há registro de investigação e das providências tomadas|Art. 69 da RDC nº 611, de 9 de março de 2022
item|As doses efetivas mensais superiores a 20 mSv foram comunicadas à Vigilância Sanitária|Art. 69, § 1º, da RDC nº 611, de 9 de março de 2022
item|Para doses efetivas mensais superiores a 100 mSv, o serviço providenciou a avaliação clínica e a realização de exames complementares, incluindo dosimetria citogenética, a critério do médico, dos usuários afetados|Art. 69, § 2º, da RDC nº 611, de 9 de março de 2022
item|As superfícies são higienizadas a cada troca de pacientes|Art. 36 e Art. 52 da RDC nº 63, de 25 de novembro de 2011
item|As persianas e cortinas são de material liso, lavável e impermeável|NULL
item|As janelas possuem tela milimétrica para proteção contra animais sinantrópicos|Parte III, item 6.2, subitem C.8, da RDC nº 50, de 21 de fevereiro de 2002
item|Os ralos possuem tampa escamoteável (não deve existir ralo nas salas de exames)|NULL
item|Ausência de materiais estranhos à finalidade nos ambientes do serviço|Art. 51, inciso V, da RDC nº 611, de 9 de março de 2022; Art. 225, § 2º, alínea “c”, do Decreto Estadual nº 23.430, de 24 de outubro de 1974
